jmeno,adresa,email,tel,web
AGEL Stomatologické centrum s.r.o.,"Ulrichovo námìstí 762, 500 02 Hradec Králové",zubni-ordinace-hk@seznam.cz,,www.zubni-ordinace-hk.cz
AGEL Stomatologické centrum s.r.o.,"Vladislavova 1390/17, 110 00 Praha 1",vladislavova@belu.cz,,
AIPa ortodoncie s.r.o.,"Dìlnická 529, 742 21 Kopøivnice",,,
AIPa ortodoncie s.r.o.,"tøída Tomáše Bati 32, 760 01 Zlín",,,
Air-dent s.r.o.,"Smetanova 372, 473 01 Novı Bor",,,
AJNA dental clinic s.r.o.,"Podìbradova 2738/16, 702 00 Ostrava",,,https://www.ajnadental.cz/zubni-pohotovost/
AJNA dental clinic s.r.o.,"Závodní 2885/86, 703 00 Ostrava",,,
AK DENT zubní ordinace Dìèín s.r.o.,"Sokolská 129, 405 05 Dìèín",,,
"AK DENT, s.r.o.","Hevlín 460, 671 69 Hevlín",,,
"AK DENT, s.r.o.","Hatì 183, 669 02 Chvalovice",,,
"AK DENT, s.r.o.","Hatì 200, 671 23 Chvalovice",,,
"AK DENT, s.r.o.","Malinovského 345/1, 671 72 Miroslav",,,
"AK DENT, s.r.o.","Malinovského 367/23, 671 72 Miroslav",,,
Akident s.r.o.,"Sadová 1042, 763 61 Napajedla",,,
Akim Dent s.r.o.,"Mrštíkova 2451/1b, 100 00 Praha 10",,,
Albi Dentes s.r.o.,"V Zámku 7, 664 07 Pozoøice",,,www.albidentes.cz
"ALDENTA, s.r.o.","Palackého tøída  659/11, 612 00 Brno",recepce@aldenta.cz,,www.aldenta.cz
Aldentex stomatologie s.r.o.,"Slavíkovcù 313/5, 709 00 Ostrava - Mariánské Hory",,,
Aldentex stomatologie s.r.o.,"Dùlní 3347/1, 702 00 Ostrava",,,
ALDIDENT s.r.o.,"Dejvická 919/38,vchod Kyjevská 8, 160 00 Praha 6",,,
Alexandr Pimachin,"Husova 1291/73, 460 01 Liberec",ordinaceap@gmail.com,,
"Alexandra Reli, lékaø stomatolog","Karolíny Svìtlé 1662/1e, 736 01 Havíøov, Podlesí",,,
Alexdent s.r.o.,"17. listopadu 1790/5, 708 00 Ostrava",,,
Alexej Samarskyi,"Porubská 549/18, 708 00 Ostrava",,,
ALFA DENTAL s.r.o.,"Opletalova 1535/4, 110 00 Praha 1",,,
Alfadent s.r.o.,"Horšovská 390/4, 155 00 Praha 5",,,
Algudent s.r.o.,"Nábøeí 727, 273 06 Libušín",,,
Aliaksei Apanasevich,"Na Plzeòce 1235/2, 150 00 Praha 5",,,
Alkadent s.r.o.,"Hlavní 88,  Frıdlant nad Ostravicí",alkadent.sro@gmail.com,,https://Alkadent.cz
"ALL - DENTE, s.r.o.","Klapkova 1874/83, 182 00 Praha 8",recepce@all-dente.cz,,
AllegroDent s.r.o.,"Masarykova 1132/62, 312 00 Plzeò, Doubravka",,,
ALMATY s.r.o.,"Ppor. Horáèka 2853, 276 01 Mìlník",,,
"ALTADENT, spol. s.r.o.","Merhautova 1070/224, 613 00 Brno",,,
ALTdent s.r.o.,"Rubínová 854/5, 312 00 Plzeò",,,
Aludentia s.r.o.,"Sokolská 374, 790 84 Mikulovice",,,
Alveol s.r.o.,"Partyzánská 976/8, 430 01 Chomutov",georgiev@zubniklinika.cz,,
"AM Dent Praha, s.r.o.","Uzbecká 1412/2, 101 00 Praha 10",info@amdent.cz,,www.amdent.cz
Amati Dental Group s.r.o.,"Sokolovská 694/100, 186 00 Praha 8",,,
Ambulance Penta s.r.o.,"Slovenská 545, 356 01 Sokolov",,,
Ambulantní stomatologie Sadská s.r.o.,"Palackého nám. 4, 289 12 Sadská",,,
Amident s.r.o.,"Koterovská 2044/124, 326 00 Plzeò",,,
Amodent s.r.o.,"Kvestorská 278/8, 140 00 Praha 4",,,
Amodent s.r.o.,"Kvestorská 337/5, 140 00 Praha 4",,,
AMS dent s.r.o.,"Lípová 664/4, 460 01 Liberec 1",,,
AMURA spol. s.r.o.,"U Hadích lázní 1146/20, 415 01 Teplice",,,
Andìl Dent s.r.o.,"Dìlnická 1020/54, 170 00 Praha 7",,,
Andìl Dent s.r.o.,"Libušská 319/126, 142 00 Praha 4",,,
Andìl Dent s.r.o.,"Štefánikova 18/25, 150 00 Praha 5",,,
ANDENTAL s.r.o.,"Èebín 186, 664 23 Èebín",,,
Anestodent s.r.o.,"Havlíèkova 532, 280 02 Kolín IV",,,
ANK-DENT s.r.o.,"Tovární 396/14, 460 10 Liberec",,,
ANNAMARIA - EU s.r.o.,"Praská 1220, 281 63 Kostelec nad Èernımi Lesy",stom.kostelec@seznam.cz,,www.stomkostelec.cz
AP Dent s.r.o.,"17. listopadu 904/18, 350 02 Cheb",,,
AP Dental s.r.o.,"Rokytnice 413, 755 01 Vsetín",,,
AP Medic s.r.o,"Štítného 3108, 390 02 Tábor",,,
AP stomatologie s.r.o.,"Mokrá 357, 664 04 Mokrá",,,
APEX medical centrum spol. s r.o.,"Melantrichova 21, 796 01 Prostìjov",info@apexcentrum.cz,,www.apexcentrum.cz
"APEX medical centrum, s.r.o.","Palackého 1198/14, 779 00 Olomouc",,,
"APEX medical centrum, s.r.o.","Sportovní 898, 798 41 Kostelec na Hané",info@apexcentrum.cz,,www.apexcentrum.cz
APODIS DENT s.r.o.,"è.p. 255, 277 03 Horní Poèaply",,,
APOLENKA s.r.o.,"Pouchovská 190/6A, 503 41 Hradec Králové 7",apolenka.zubniordinace@gmail.com,,
Apollo Dent s.r.o.,"Olšanská 2666/7, 130 00 Praha 3",,,
APOLLONIA spol. s r.o.,"Bartošova 6, 602 00 Brno",apolloni@brn.inecnet.cz,,
Apolona Dental s.r.o.,"Nádraní 2495/20, 301 00 Plzeò",,,
Aqua Dentes s.r.o.,"Mokrého 186, 389 01 Vodòany",,,
ARAGMA s.r.o.,"Oldøichovice 787, 739 61 Tøinec",contact@big-smile.eu,,
ArbesDentry s.r.o.,"Pavla Švandy ze Semèic 1068/13, 150 00 Praha 5",ordinace@arbesdent.cz,,www.arbesdent.cz
"ArcticDent, s.r.o.","Františka Køíka 683/22, 170 00 Praha 7",arcticdent@seznam.cz,,
Archident s.r.o.,"Vítìzná 1469/9, 702 00 Ostrava",,,
"ARIES,  spol. s r.o.",", 552 03 Velkı Tøebešov 118",,,
ARS DENT praktické zubní lékaøství s.r.o.,"Karlovarská 490/24, 301 00 Plzeò",,,
Arsident s.r.o.,"Zelená 3062/26, 702 00 Ostrava",,,
"Art Dent, s.r.o.","Ortenovo nám. 1494/14, 170 00 Praha 7",,,
Art of Dentistry s.r.o.,"Maiselova 76/12, 110 00 Praha 1",,,
Art Smile dental clinic s.r.o.,"Dr.Martínka 1491/7, 700 30 Ostrava, Hrabùvka",,,
Artis Dental s.r.o.,"Námìstí 102, 671 28 Jaroslavice",artisdental@seznam.cz,,
ART-MEDICA s.r.o.,"Neøedínská 683/23a, 779 00 Olomouc",,,
Artstom s.r.o.,"Rubeška 383/4, 190 00 Praha 9",artstom.cz@email.cz,,"www.artstom.cz, www.dent.cz/pohotovosti/"
ARX DENTAL s.r.o.,"Pivovarská 122, 686 01 Uherské Hradištì",,,
AS STOMA s.r.o.,"Klášterní 117/2, 460 05 Liberec 5",,,
ASAP Dental s.r.o.,"Ostrovec 233, 666 01 Tišnov",,,
"Ascendent, s.r.o.","Palackého nám. 22, 665 01 Rosice",,,
"Ascendent, s.r.o.","Praská 192/96, 642 00 Brno",recepce@ascendentclinic.cz,,
Asina Iuliia,"Plzeòská 32/22, 266 01 Beroun",,,
"ASKLEPION - Lasercentrum Praha, s.r.o.","Londınská 160/39, 120 00 Praha 2",,,
AS-ORTO s.r.o.,"Sokolovská 2036/80, 323 00 Plzeò",,,
ASTACUS Dent s.r.o.,"Herrmannova 593/4, 460 01 Liberec",,,https://astacus-dent.cz/
ASTACUSTOM s.r.o.,"Sportovní 99, 269 01 Rakovník",info@astacustom.cz,,www.astacustom.cz
Astella s.r.o.,"Klapkova 731/34, 182 00 Praha 8",ordinace@astella.cz,,
ASTRA DENTAL s.r.o.,"Ke Stáèírnì 607/2, 149 00 Praha 4",,,
Astra Pura s.r.o.,"Habrmannova 1561/28, 326 00 Plzeò",,,
AT Dent s.r.o.,"Ostrovského 253/3, 150 00 Praha 5",info@atdent.cz,,www.atdent.cz
ATA-DENT spol. s.r.o.,"Nedvìzská 2229/14, 100 00 Praha 10",,,
Atelier Art s.r.o.,"Okruní 2160, 288 02 Nymburk",,,
ATMA Dent s.r.o.,"Sadová 1596/33, 678 01 Blansko",,,
ATMA Dent s.r.o.,"Sadová 33, 678 01 Blansko",tomas.rehorek@gmail.com,,
ATMA Dent s.r.o.,"K. H. Máchy 2342/17, 678 01 Blansko",,,
Audacia klinik s.r.o.,"Palackého námìstí 68, 278 01 Kralupy nad Vltavou",,,
AURA MEDICAL CLINIC s.r.o.,"Konìvova 31, 130 00 Praha 3",,,
Aurora Dent s.r.o.,"Sokolská 1638/37, 120 00 Praha 2",,,
AV - DENT spol. s r.o.,"Radnická 11, 602 00 Brno",,,
AV dental s. r.o.,"Sulická 2033/54, 142 00 Praha 4",info@avdental.cz,,www.avdental.cz
AVE DENT s.r.o.,"Štefánikova 566/26, 500 11 Hradec Králové",zubarka.hk@centrum.cz,,
AVE Dental s.r.o.,"Olomoucká 648/29, 618 00 Brno",,,
AVEdent PLUS s.r.o.,"Hrnèíøská 261/22, 748 01 Hluèín",,,
Avicenna Dent s.r.o.,"Bøezinova 398, 394 03 Horní Cerekev",avicennadent@post.cz,,
Avicenna Dent s.r.o.,"Drustevní 449, 588 51 Batelov",,,
AvicennaBarandov s.r.o.,"Krškova 807/21, 152 00 Praha 5",,,
Avicenum Medical s.r.o.,"U Nemocnice 3064, 415 03 Teplice",zubar@atlas.cz,,
AVORELHEM s.r.o.,"Sídlištì Plešivec 255, 381 01 Èeskı Krumlov",,,
AvramovaDent s.r.o.,"Bezruèova 547/14, 293 01 Mladá Boleslav",,,
AvramovaDent s.r.o.,"Na Kotli 661/6, 500 09 Hradec Králové",,,
AVR-Dent s.r.o.,", 285 42 Èervené Janovice 36",,,
AXION Dental Dock Cheb s.r.o.,"K Nemocnici 2381/2, 350 02 Cheb",,,
AXION Dental Dock s.r.o.,"Kischova 1732/5, 140 00 Praha 4",,,
AZ - Dental s.r.o.,"Antonína Uxy 1290, 330 23 Nıøany",,,
AZ EsteDent s.r.o.,"Palackého 208/45, 290 01 Podìbrady",,,
"B - Orto, s.r.o.","Pod Všemi svatımi 1653/48, 301 00 Plzeò, Severní Pøedmìstí",,,
B smile s.r.o.,", 594 53 Osová Bítıška 303",info@zubniob.cz,,www.zubniob.cz
"B+B DENT, s.r.o.","T. G. Masaryka 602, 738 01 Frıdek Místek",,,
"B+B Medical, s.r.o.","Kpt. Vosky 684, 284 01 Kutná Hora",BlazejovaOlga@seznam.cz,,www.b-bmedical.cz
B4 Dent s.r.o.,"Mlınská 558, 403 31 Ústí nad Labem",,,
Bahník Dent s.r.o.,"Tøebízského 799, 517 41 Kostelec nad Orlicí",,,
BajoDent s.r.o.,"Vítkovická 3083/1, 702 00 Ostrava",,,
BAKON spol. s r.o.,"Mukaøovská 3116/24, 100 00 Praha 10",,,
Bamorla Dent s.r.o.,"Studentská 1554/1, 736 01 Havíøov",,,
BaraDental s.r.o.,"Bratislavská 183/2, 602 00 Brno",,,
BARDENTA s.r.o.,"Janouškova 579/4, 613 00 Brno",bardenta@centrum.cz,,www.bardenta.cz
BARRANDOV DENT s.r.o.,"Krškova 807/21, 152 00 Praha 5",barrandovdent@post.cz,,
Bártek Dent s.r.o.,"S. K. Neumanna 611, 684 01 Bílovice nad Svitavou",,,www.bartekdent.cz
BB stomatologie s.r.o.,"Polívkova 465/51, 779 00 Olomouc",,,
BC Dent s.r.o.,"Smetanova 746, 743 01 Bílovec",,,
Bc. Monika Zeman Kyselová,"Foerstrova 1656/3, 500 02 Hradec Králové",,,
B-Dent s.r.o.,"Rudoleckého 909/8, 669 02 Znojmo",,,
BEAUTY SMILE s.r.o.,"Senováné námìstí 980/22, 110 00 Praha 1",,,
Bee Dent s.r.o.,"Mariánská 845/50, 470 01 Èeská Lípa",,,
Befany s.r.o.,"Komenského 10, 763 21 Slavièín",info@befany.cz,,www.befany.cz
Belgická Dent clinic s.r.o.,"Belgická 131/16, 120 00 Praha 2",,,
BellaDENTE s.r.o.,"tø. 1. máje 1782, 753 01 Hranice",info@belladente.cz,,www.belladente.cz
BellaDENTE s.r.o.,"námìstí Republiky 198/2, 746 01 Opava, Pøedmìstí",info@belladente.cz,,www.belladente.cz
BENADENT s.r.o.,"Tepelská 867/3a, 353 01 Mariánské Láznì - Úšovice",,,
"Bendent, s.r.o.","Smetanova 25/19, 294 71 Benátky nad Jizerou",,,
BeneDent ordinace s.r.o.,"Šternberská 4, 783 91 Unièov",ordinace@benedent.cz,,
BeneSmile s.r.o.,"Tyršova 2071, 256 01 Benešov",,,
Beníèek stomatologie s.r.o.,"V Tenièkách 640, 686 01 Uherské Hradištì",,,
Best Smile s.r.o.,"K Nové škole 1299, 156 00 Praha 5",,,
BESTDENT s.r.o.,"Palackého tøída 3048/124, 612 00 Brno",,,
BEV Dent s.r.o.,"Heldovo námìstí 594, 503 46 Tøebechovice pod Orebem",,,
BEZ KAZU s.r.o.,"Èechova 3088/15a, 690 02 Bøeclav",,,
BFM-DENT s.r.o.,"Bìlehradská 383/122, 120 00 Praha 2",,,
BH Dentist s.r.o.,"Uherova 958, 253 03 Chınì",,,
BH Odonto s.r.o.,"Poèátecká 311, 378 56 Studená",,,
"Bic-Dent, spol. s r.o.","Kumburská 750, 509 01 Nová Paka",,,
Bieganska s.r.o.,"Smetanova 1941/9, 750 02 Pøerov",,,
BIODENT-TUR s.r.o.,"Uruguayská 344/13, 120 00 Praha 2 - Vinohrady",,,
BIONdent s.r.o.,"Sobìdruská 39/3, 417 12 Proboštov",,,
BISTRODENT spol. s r.o.,"Rooseveltova 147/20, 779 00 Olomouc",,,
BitterDent s.r.o.,"Purkyòova 632/19, 301 00 Plzeò",BitterDent@seznam.cz,,www.bitterdent.cz
BK DENT s.r.o.,"U Kostela 62/4, 679 04 Adamov",,,
BK Implant Czech s.r.o.,"U Stromovky 1568/9a, 736 01 Havíøov",,,
BlackDental s.r.o.,"Klíšská 981/79, 400 01 Ústí nad Labem",,,
Bladent NMNM s.r.o.,"Štursova 111, 592 31 Nové Mìsto na Moravì",info@bladent.cz,,
Blahodent s.r.o.,"Vratimovská 689/117, 719 00 Ostrava",,,
Bluedent s.r.o.,"Jihomoravské námìstí 1098/1, 627 00 Brno - Slatina",,,
BN DENT s.r.o.,"Praská 290, 259 01 Votice",,,
BO - DENT s.r.o.,", 270 61 Lány 418",,,"Lány - ukonèena èinnost od r.2010, od 1.3.2022 ukonèena èinnost  Praha"
BO - DENT s.r.o.,"Mšecká 462, 271 01 Nové Strašecí",bo-dent@seznam.cz,,
"Boèková Zubní, spol. s r.o.","nám. ÈSÈK 38, 679 72 Kunštát",,,
BOHEM DENT s.r.o.,"Øeznická 166/2, 460 01 Liberec 1",,,
BohemiaDent s.r.o.,"Doudova 652/10, 147 00 Praha 4",,,
Bohumínská mìstská nemocnice a.s.,"Èáslavská 1176, 735 81 Bohumín",,,
Bondar Oleksandr,"Lovosická 440/40, 190 00 Praha 9",,,
Bono DENT s.r.o.,"námìstí Míru 350/2a, 767 01 Kromìøí",bonodent@centrum.cz,,
Bonus Dental s.r.o.,"Klimšova 1756, 735 41 Petøvald",,,
BOS DENT s.r.o.,"Jaroslava Vacka 94, 390 03 Tábor",,,
Bozadziev s.r.o.,"Lesní 268, 390 01 Tábor",ilja@bozadziev.net,,www.bozadziev.net
BRAZDA DENTAL s.r.o.,"Boøivojova 540/30a, 779 00 Olomouc",,,
BREG s.r.o.,"Praská 221, 276 01 Mìlník",igor.denisov@seznam.cz,,
BrigiDent s.r.o.,"Tyršova 63/18, 397 01 Písek",,,
British Medical Group s.r.o.,"Soukalova 3355/3, 143 00 Praha 4",,,
BRIXdent s.r.o.,"Hradební 1258, 500 03 Hradec Králové",,,
BRIXdent s.r.o.,"Šimkova 1223/2a, 500 03 Hradec Králové",,,
Brom&Dent s.r.o.,"Dubská 3314, 415 01 Teplice",,,znamyzubar.cz
"Bøeòovi a Makris, s.r.o.","Bøezinova 1002/ 5, 794 01 Krnov",,,
"Bøeòovi a Makris, s.r.o.","Mikulášská 907/ 25, 794 01 Krnov",,,
"B-smiledent s.r.o. - V rovinách 1169/56, Praha 4","V rovinách 1169/56, 140 00 Praha 4",,,www.bsmiledent.cz
Buchta TEaM Dent s.r.o.,"Rooseveltova 1359/14, 746 01 Opava",,,
"Bulovka Dental Clinic, a.s.","Chlumèanského 497/5, 180 00 Praha 8",recepce@bulovkadc.com,,
Buriak Volodymyr,"Nad kolonií 503/1, 140 00 Praha 4",vladimir.buriak@atlas.cz,,www.stomatolog-vb.cz
BUVEUS s.r.o.,"Krajíøova 137/2, 293 01 Mladá Boleslav",tvujstomatolog@gmail.com,,www.tvuj-stomatolog.cz
C - ORTO s.r.o.,"Francouzská tøída 2080/4, 326 00 Plzeò",,,
C4Dent s.r.o.,"Gorkého 85/42, 614 00 Brno",,,
Canadian Medical Care,"Evropská 859/115a, 160 00 Praha 6",,,
Canadian Medical s.r.o.,"Jánská 2, 602 00 Brno",,,
Canadian Medical s.r.o.,"Lomnického 1705/5, 140 00 Praha 4",,,
Canadian Medical s.r.o.,"Sokolovská 192/79, 180 00 Praha 8 - Karlín",,,
Canadian Medical s.r.o.,"Na Poøíèí 1041/12, 110 00 Praha 1",,,
Canadian Medical s.r.o.,"Evropská 859/115a, 160 00 Praha 6",,,
CARE & CURE Clinic s.r.o.,"Bolzanova 1679/3, 110 00 Praha 1",,,
CARE DENT s.r.o.,"Kroftova 342/3, 150 00 Praha 5",ordinace@zubnivila.eu,,
CARE MEDICO s.r.o.,"Sokolovská 131/86, 186 00 Praha 8",info@caremedico.cz,,
CARE MEDICO s.r.o.,"Wilsonova 301/10, 110 00 Praha 2",recepce@dentmedico.cz,,
CARE MEDICO s.r.o.,"Urešova 1757, 148 00 Praha 4",,,
CARE MEDICO SERVICES s.r.o.,"Sokolovská 131/86, 186 00 Praha 8",,,
CARPE-DENT s.r.o.,"Pickova 1483, 562 01 Ústí nad Orlicí",,,
CB Dent 32 s.r.o.,"Riegrova 479, 378 10 Èeské Velenice",,,
C-Dental s.r.o.,"Nová 956, 334 41 Dobøany",,,
Cenessto s.r.o.,"Lidická 965/31, 602 00 Brno",krejci@cenessto.cz,,www.cenessto.cz
CENTROSAN s.r.o.,"Pivovarská 1820, 509 01 Nová Paka",,,
"Centrum estetické medicíny, s.r.o.","Krakovská 8, 110 00 Praha 1",,,
"Centrum estetik-life.cz, spol. s r.o.","Sluneèní námìstí 2588/14, 158 00 Praha 5",estetik-life.praha@seznam.cz,,www.estetik-life.cz
"Centrum orálního zdraví, o.p.s.","Palachova 700/35, 400 01 Ústí nad Labem",,,
Centrum stomatologie a ortodoncie s.r.o.,"Podkrušnohorská 1039, 436 01 Litvínov",,,
"Centrum stomatologie, s.r.o.","Døevìná 478/9, 353 01 Mariánské Láznì",,,http://www.foustka.com
CENTRUM ÚSMÌVU s.r.o.,"Letcù 965/31, 779 00 Olomouc",,,
Centrum zdravého úsmìvu s.r.o.,", 751 05 Kokory è. 2",,,
Centrum zdraví Kyjov s.r.o.,"tøída Komenského 616/16, 697 01 Kyjov",,,
Centrum zdravotních slueb Bechynì,", 391 65 Bechynì",,,
Centrum zdravotních slueb Prostìjov,"Letecká 1, 796 01 Prostìjov",,,
Centrum zdravıch zubù s.r.o.,"Praská tøída 142/102, 500 04 Hradec Králové",,,
Centrum zdravıch zubù s.r.o.,"Hradecká 621, 503 31 Vysoká nad Labem",,,
Centrum zubní chirurgie s.r.o.,"Pod Marjánkou 1906/12, 169 00 Praha 6",recepce@czch.cz,,www.czch.cz
"Centrum zubní péèe Alma, s.r.o.","Masarykova 1071, 560 02 Èeská Tøebová",info@centrumalma.cz,,www.centrumalma.cz
Centrum zubní péèe VIK-DENT s.r.o.,"B. Nìmcové 2771/3, 787 01 Šumperk",,,
Centrum zubní prevence s.r.o.,"Pod Haldou 64, 266 01 Beroun-Závodí",,,
Ceramic Dent s.r.o.,"Krškova 807/21, 152 00 Praha 5",,,
CERCE s.r.o.,"Jakubská 2, 602 00 Brno",,,
"CERDENT, s.r.o.","Alešova 767, 252 28 Èernošice",,,
CESMED s.r.o.,"Vanèurova 743, 293 01 Mladá Boleslav",,,
City Dental Care s.r.o.,"Zavadilova 1296/5, 160 00 Praha 6",karlicek@cdcklinika.cz,,
City Dental Klinik s.r.o.,"Stroupenického 1370/7, 400 01 Ústí nad Labem",,,
CJ - Dental Clinic s.r.o.,"Sládkovièova 1236/15, 142 00 Praha 4",,,
ClaraDent zubní ordinace s.r.o.,"Havelkova 337/10, 789 83 Loštice",,,
Clean Dent s.r.o.,"Duchcovská 962/53, 434 01 Teplice",,,
Clean Dent s.r.o.,"Nádraní 774/1, 434 01 Most",cleandent.sro@seznam.cz,,
CLINIC FAMILYDENT s.r.o.,"Pod Klamovkou 472/7, 150 00 Praha 5",familydent@email.cz,,www.familydent.cz
"Clinic for Smile, s.r.o.","Dubová 248/1, 360 04 Karlovy Vary",,,
Clinic+ Medical Group s.r.o.,"Vršovická 1461/64, 101 00 Praha 10",alekaev@cinicplus.cz,,
CLINICA BOHEMICA s.r.o.,"K Hrnèíøùm 25, 149 00 Praha 4 - Šeberov",ordinace@ambicare.eu,,www.ambicare.eu
Cobyzub s.r.o.,"Potštátská 1085, 753 01 Hranice I-Mìsto",,,www.cobyzub.cz
Codental s.r.o.,"Jabloòová 2992/8, 106 00 Praha 10",,,
"CODUM, s.r.o.","Soukalova 3355, 143 00 Praha 4",,,
COMPLETE Implantologie s.r.o.,"Antala Staška 80, 140 00 Praha 4",,,
Complexdental s.r.o.,"Pod Všemi svatımi 1653/48, 301 00 Plzeò",,,
"ConfiDental, spol. s r.o.","U Dvou srpù 2024/2, 150 00 Praha 5",dr.vasylevska@seznam.cz,,http://confidental.cz
COOL LOOK s.r.o.,"Dobrovského 1074/40, 170 00 Praha 7 - Holešovice",recepce@cool-look.cz,,www.cool-look.cz
Crystaldent s.r.o.,"Klánovická 601/40, 198 00 Praha 9",,,www.crystaldent.cz
CSDC Praha s.r.o.,"Èeskomoravská 2420/15a, 190 00 Praha 9",recepce.harfa@csdc.cz,,www.csdc.cz
CSDC Praha s.r.o.,"Øevnická 121/1, 155 21 Praha 5",recepce.zlicin@csdc.cz,,www.csdc.cz
CTP Dent s.r.o.,"Tøída 9. kvìtna 161, 380 01 Daèice",,,
Curativa.stom s.r.o.,"Horní nám. 26, 779 00 Olomouc",krskova.m@centrum.cz,,
"Czolko, s.r.o.","Bechyòova 2571/3, 160 00 Praha 6",dczolkova@gmail.cz,,www.czolkova.cz
